2022-04-01 05:05:01.633 ERROR [queue-executor-handler-4][?:?]:[online#12711120_80064|PUNCMH|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":4}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":4429}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648760701509}},\"lastRefreshTime\":1648760701506},\"del\":{}}","rid":"online#12711120_80064","requestJson":{"index":1,"type":1}}
2022-04-01 05:21:01.275 ERROR [queue-executor-handler-15][?:?]:[online#22572722_80510|摆烂的矿工|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":4}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":903}}},\"saitama\":{\"taskGroup\":{\"readyTaskType\":{\"1\":1648712026936,\"2\":1648719226936,\"4\":1648708426936,\"5\":1648740826936}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761661271}},\"lastRefreshTime\":1648761661269},\"del\":{}}","rid":"online#22572722_80510","requestJson":{"index":1,"type":1}}
2022-04-01 05:21:02.707 ERROR [queue-executor-handler-15][KOSBaseHandler.java:414]:[online#22572722_80510|摆烂的矿工|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":7}}},\"wallet\":{\"moneys\":{\"vitality\":{\"vit\":{\"lastChangeTime\":1648761662677,\"value\":104}},\"fairpoint\":{\"amount\":3},\"actionpoint\":{\"energy\":{\"lastChangeTime\":1648761662678,\"value\":5}}}},\"saitama\":{\"taskGroup\":{\"readyTaskType\":{\"1\":1648712026936,\"2\":1648719226936,\"4\":1648708426936,\"5\":1648740826936}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761662702}},\"lastRefreshTime\":1648761662700},\"del\":{}}","rid":"online#22572722_80510","requestJson":{"index":1,"type":1}}
2022-04-01 05:22:07.192 ERROR [queue-executor-handler-7][?:?]:[online#23375901_40396|屯鼠001|65024]{"opCode":65024,"diff":"{\"d\":{\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":1594}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":6}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":1322}}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761727183}},\"lastRefreshTime\":1648761727181},\"del\":{}}","rid":"online#23375901_40396","requestJson":{"index":1,"type":1}}
2022-04-01 05:22:19.251 ERROR [queue-executor-handler-7][?:?]:[online#23375901_40396|屯鼠001|65024]{"opCode":65024,"diff":"{\"d\":{\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":1294}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":9}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":1334}}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761739243}},\"lastRefreshTime\":1648761739240},\"del\":{}}","rid":"online#23375901_40396","requestJson":{"index":1,"type":1}}
2022-04-01 05:22:19.993 ERROR [queue-executor-handler-7][?:?]:[online#23375901_40396|屯鼠001|65024]{"opCode":65024,"diff":"{\"d\":{\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":994}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":10}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761739984}},\"lastRefreshTime\":1648761739981},\"del\":{}}","rid":"online#23375901_40396","requestJson":{"index":1,"type":1}}
2022-04-01 05:22:20.276 ERROR [queue-executor-handler-7][?:?]:[online#23375901_40396|屯鼠001|65024]{"opCode":65024,"diff":"{\"d\":{\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":694}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":11}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761740272}},\"lastRefreshTime\":1648761740270},\"del\":{}}","rid":"online#23375901_40396","requestJson":{"index":1,"type":1}}
2022-04-01 05:22:20.554 ERROR [queue-executor-handler-7][?:?]:[online#23375901_40396|屯鼠001|65024]{"opCode":65024,"diff":"{\"d\":{\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":394}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":12}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761740541}},\"lastRefreshTime\":1648761740538},\"del\":{}}","rid":"online#23375901_40396","requestJson":{"index":1,"type":1}}
2022-04-01 05:22:20.916 ERROR [queue-executor-handler-7][?:414]:[online#23375901_40396|屯鼠001|65024]{"opCode":65024,"diff":"{\"d\":{\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":94}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":13}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761740908}},\"lastRefreshTime\":1648761740905},\"del\":{}}","rid":"online#23375901_40396","requestJson":{"index":1,"type":1}}
2022-04-01 05:23:06.679 ERROR [queue-executor-handler-11][?:?]:[online#445016_30006|高血压奥特曼|65024]{"opCode":65024,"diff":"{\"d\":{\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":517}}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":4}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":103600}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761786674}},\"lastRefreshTime\":1648761786669},\"del\":{}}","rid":"online#445016_30006","requestJson":{"index":1,"type":1}}
2022-04-01 05:23:53.224 ERROR [queue-executor-handler-5][?:?]:[online#4783590_40030|煌叔|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":9}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":4150}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761833214}},\"lastRefreshTime\":1648761833210},\"del\":{}}","rid":"online#4783590_40030","requestJson":{"index":1,"type":1}}
2022-04-01 05:23:51.360 ERROR [queue-executor-handler-5][?:?]:[online#4783590_40030|煌叔|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":8}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":4450}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761831352}},\"lastRefreshTime\":1648761831350},\"del\":{}}","rid":"online#4783590_40030","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:05.548 ERROR [queue-executor-handler-2][?:?]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":8}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":4465}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761905544}},\"lastRefreshTime\":1648761905543},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:05.993 ERROR [queue-executor-handler-2][?:?]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":9}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":4165}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761905989}},\"lastRefreshTime\":1648761905988},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:07.899 ERROR [queue-executor-handler-2][?:?]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":13}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":2965}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761907895}},\"lastRefreshTime\":1648761907892},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:06.409 ERROR [queue-executor-handler-2][?:?]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":10}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":3865}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761906404}},\"lastRefreshTime\":1648761906402},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:06.868 ERROR [queue-executor-handler-2][?:414]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":11}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":3565}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761906864}},\"lastRefreshTime\":1648761906863},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:07.438 ERROR [queue-executor-handler-2][KOSBaseHandler.java:414]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":12}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":3265}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761907434}},\"lastRefreshTime\":1648761907432},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:08.744 ERROR [queue-executor-handler-2][?:?]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":15}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":2365}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761908740}},\"lastRefreshTime\":1648761908738},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:08.358 ERROR [queue-executor-handler-2][?:?]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":14}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":2665}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761908354}},\"lastRefreshTime\":1648761908353},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:09.179 ERROR [queue-executor-handler-2][?:?]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":16}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":2065}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761909175}},\"lastRefreshTime\":1648761909172},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:09.704 ERROR [queue-executor-handler-2][?:?]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":17}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":1765}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761909700}},\"lastRefreshTime\":1648761909697},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:10.109 ERROR [queue-executor-handler-2][?:?]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":18}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":1465}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761910105}},\"lastRefreshTime\":1648761910102},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:11.071 ERROR [queue-executor-handler-2][KOSBaseHandler.java:414]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":20}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":865}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761911065}},\"lastRefreshTime\":1648761911062},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:10.639 ERROR [queue-executor-handler-2][?:?]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":19}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":1165}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761910634}},\"lastRefreshTime\":1648761910632},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:11.588 ERROR [queue-executor-handler-2][?:?]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":21}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":565}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761911585}},\"lastRefreshTime\":1648761911582},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:12.078 ERROR [queue-executor-handler-2][?:?]:[online#12250257_40211|玄虚天尊|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":22}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":265}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761912075}},\"lastRefreshTime\":1648761912072},\"del\":{}}","rid":"online#12250257_40211","requestJson":{"index":1,"type":1}}
2022-04-01 05:25:49.805 ERROR [queue-executor-handler-3][?:?]:[online#5863989_10064|猪场吴彦祖|65024]{"opCode":65024,"diff":"{\"d\":{\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":1526}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":3}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648761949799}},\"lastRefreshTime\":1648761949797},\"del\":{}}","rid":"online#5863989_10064","requestJson":{"index":1,"type":1}}
2022-04-01 05:28:09.541 ERROR [queue-executor-handler-5][?:?]:[online#7741935_10120|老逗|65024]{"opCode":65024,"diff":"{\"d\":{\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":1473}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":3}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":1419}}}},\"saitama\":{\"taskGroup\":{\"readyTaskType\":{\"1\":1648721778594,\"2\":1648714578594,\"3\":1648725378594,\"4\":1648692978594}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648762089535}},\"lastRefreshTime\":1648762089533},\"del\":{}}","rid":"online#7741935_10120","requestJson":{"index":1,"type":1}}
2022-04-01 05:28:48.487 ERROR [queue-executor-handler-14][?:?]:[online#19799348_80433|人|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":6}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":1687}}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":2423}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648762128483}},\"lastRefreshTime\":1648762128481},\"del\":{}}","rid":"online#19799348_80433","requestJson":{"index":1,"type":1}}
2022-04-01 05:28:47.726 ERROR [queue-executor-handler-14][?:?]:[online#19799348_80433|人|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":5}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":2723}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648762127723}},\"lastRefreshTime\":1648762127722},\"del\":{}}","rid":"online#19799348_80433","requestJson":{"index":1,"type":1}}
2022-04-01 05:28:50.047 ERROR [queue-executor-handler-14][?:?]:[online#19799348_80433|人|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":7}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":1689}}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":2123}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648762130043}},\"lastRefreshTime\":1648762130042},\"del\":{}}","rid":"online#19799348_80433","requestJson":{"index":1,"type":1}}
2022-04-01 05:28:51.935 ERROR [queue-executor-handler-14][?:?]:[online#19799348_80433|人|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":9}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":1691}}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":1823}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648762131931}},\"lastRefreshTime\":1648762131929},\"del\":{}}","rid":"online#19799348_80433","requestJson":{"index":1,"type":1}}
2022-04-01 05:29:10.174 ERROR [queue-executor-handler-14][?:?]:[online#15153390_40228|苏飞飞|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":2}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":32}}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":28278}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648762150170}},\"lastRefreshTime\":1648762150169},\"del\":{}}","rid":"online#15153390_40228","requestJson":{"index":1,"type":1}}
2022-04-01 05:29:23.321 ERROR [queue-executor-handler-14][?:?]:[online#15153390_40228|苏飞飞|65024]{"opCode":65024,"diff":"{\"d\":{\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":3}}},\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":46}}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":27978}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648762163316}},\"lastRefreshTime\":1648762163314},\"del\":{}}","rid":"online#15153390_40228","requestJson":{"index":1,"type":1}}
2022-04-01 05:29:27.337 ERROR [queue-executor-handler-9][?:?]:[online#15599957_80300|888|65024]{"opCode":65024,"diff":"{\"d\":{\"ach\":{\"achLMap\":{\"A05S02\":{\"curTask\":{\"cv\":1177}}}},\"realPvp\":{\"draw\":{\"1030\":{\"sumTimes\":4}}},\"wallet\":{\"moneys\":{\"fairpoint\":{\"amount\":402}}},\"heroBag\":{\"freeRebornTime\":{\"lastChangeTime\":1648762167331}},\"lastRefreshTime\":1648762167331},\"del\":{}}","rid":"online#15599957_80300","requestJson":{"index":1,"type":1}}
